entity_id,state,last_changed
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T17:32:26.206Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T19:03:04.393Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T19:17:29.151Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T19:18:43.762Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T20:21:10.669Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T20:21:11.719Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T20:21:51.991Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T20:22:01.901Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T22:29:14.279Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T22:31:07.014Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T22:35:13.882Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T22:36:03.389Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T22:36:30.864Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T22:39:37.644Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-13T22:58:08.279Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-13T23:01:48.826Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-14T07:17:36.496Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-14T07:23:54.876Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-14T17:29:29.217Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-14T17:30:21.937Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-14T17:36:11.534Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-14T19:15:25.835Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-14T19:15:26.370Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-14T19:15:30.216Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-14T19:29:37.933Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-14T21:31:20.102Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-14T22:08:31.127Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-14T22:12:24.605Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-15T16:21:23.996Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-15T17:45:19.683Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-15T17:47:11.923Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-15T17:48:00.505Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-15T17:48:16.889Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-15T17:48:21.053Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-15T17:54:20.119Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-15T17:54:22.823Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-15T18:54:57.924Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-15T18:56:06.772Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-15T21:54:41.439Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-15T21:54:50.789Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-16T00:11:54.515Z
