entity_id,state,last_changed
switch.tv_quarto_state,off,2025-10-24T23:00:00.000Z
switch.tv_quarto_state,unknown,2025-10-25T22:02:31.811Z
switch.tv_quarto_state,off,2025-10-25T22:03:12.405Z
switch.tv_quarto_state,on,2025-10-25T22:50:49.820Z
switch.tv_quarto_state,off,2025-10-25T23:02:27.638Z
switch.tv_quarto_state,null,2025-10-27T10:59:30.947Z
switch.tv_quarto_state,off,2025-10-27T10:59:34.396Z
switch.tv_quarto_state,on,2025-10-27T23:36:52.872Z
switch.tv_quarto_state,off,2025-10-27T23:57:15.629Z
switch.tv_quarto_state,on,2025-10-29T23:49:41.869Z
switch.tv_quarto_state,off,2025-10-29T23:52:20.552Z
switch.tv_quarto_state,on,2025-10-29T23:52:24.333Z
switch.tv_quarto_state,off,2025-10-29T23:53:46.600Z
switch.tv_quarto_state,on,2025-10-29T23:53:49.780Z
switch.tv_quarto_state,off,2025-10-29T23:56:57.574Z
switch.tv_quarto_state,on,2025-10-29T23:56:58.300Z
switch.tv_quarto_state,off,2025-10-30T00:08:50.580Z
