entity_id,state,last_changed
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T07:00:17.025Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T07:02:16.825Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T07:05:39.610Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T07:12:12.742Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T07:18:26.135Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T07:22:01.026Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T07:25:07.060Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T07:28:07.124Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T07:28:13.158Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T07:30:12.979Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T07:33:11.022Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T07:35:10.824Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T08:00:30.614Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T08:06:27.917Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T08:10:47.905Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T08:13:59.311Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T08:24:14.090Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T08:26:13.912Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T08:36:59.021Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T08:38:58.844Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T08:43:40.816Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T08:45:40.642Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T08:45:48.071Z
binary_sensor.motion_sensor_158d00027a3eb3,off,2025-10-13T08:47:47.870Z
binary_sensor.motion_sensor_158d00027a3eb3,on,2025-10-13T09:57:22.135Z
